[INFO] [1788546603.327555055] [robot_state_publisher]: Robot initialized
[WARN] [1788546612.764252588] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546612.789496992] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546612.804674510] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546612.846293202] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546612.892949858] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546612.903566754] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546612.908592134] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546612.911220764] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546612.922541797] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546612.949398479] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546612.986757555] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546612.998544721] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546612.998670182] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546613.013779947] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546613.073561206] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546613.099455203] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546613.166561299] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546613.195612726] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546613.211138874] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546613.224524442] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546613.296413747] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546613.346101787] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546613.394302550] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546613.484734223] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546613.487264726] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546613.488618249] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546613.544778653] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546613.564941007] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546613.630114944] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546613.647580668] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546613.679642356] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546613.704054452] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546613.751542119] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546613.767650527] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546613.785653885] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546613.849320629] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546613.879479617] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546613.906141044] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546613.915604877] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546613.956358135] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546613.973478769] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546614.052160023] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546614.082908645] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546614.164992582] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546614.170234840] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546614.212497663] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546614.272618340] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546614.297712030] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546614.314443697] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546614.347621986] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546614.383986498] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546614.418980735] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546614.443633209] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546614.482543181] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546614.496580969] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546614.499699648] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546614.504407647] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546614.535370939] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546614.606060760] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546614.623115642] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546614.650637082] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546614.706085636] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546614.724887548] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546614.755356206] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546614.773775445] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546614.779985971] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546614.781131199] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546614.781726168] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546614.876895084] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546614.917972969] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546614.985421025] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546614.988330201] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546614.989373802] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546615.117565955] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546615.122381164] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546615.129830877] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546615.133690028] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546615.146126036] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546615.195503814] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546615.256015702] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546615.275220287] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546615.277870041] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546615.278924851] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546615.317894864] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
